County of Santa Barbara,,,,,,,,,,,,
Daily Rainfall Record - through 08-31-2020,,,,,,,,,,,,
,,,,,,,,,,,,
#421 - Figueroa Mtn,,,,,,,,,,,,
"Lat 34-44-04, Long 120-00-25, Elev 3250 ft",,,,,,,,,,,,
,,,,,,,,,,,,
Daily Rainfall (in inches) recorded as of 8am for the previous 24 hours (PST),,,,,,,,,,,,
"Codes: PR = Preliminary data,  E = Estimated from nearby gauge",,,,,,,,,,,,
,,,,,,,,,,,,
station id,water year,year,month,day,daily rain,code,,,,,,
421,1967,1966,12,7,1.00,,,,,,,
421,1967,1967,1,22,1.75,,,,,,,
421,1967,1967,1,24,1.72,,,,,,,
421,1967,1967,1,25,1.13,,,,,,,
421,1967,1967,1,30,0.45,,,,,,,
421,1967,1967,2,24,0.47,,,,,,,
421,1967,1967,3,13,4.07,,,,,,,
421,1967,1967,3,14,0.87,,,,,,,
421,1967,1967,3,16,0.05,,,,,,,
421,1967,1967,3,17,0.20,,,,,,,
421,1967,1967,3,31,0.95,,,,,,,
421,1967,1967,4,1,0.45,,,,,,,
421,1967,1967,4,3,0.88,,,,,,,
421,1967,1967,4,4,0.13,,,,,,,
421,1967,1967,4,5,1.15,,,,,,,
421,1967,1967,4,7,0.70,,,,,,,
421,1967,1967,4,8,0.18,,,,,,,
421,1967,1967,4,11,1.10,,,,,,,
421,1967,1967,4,12,0.80,,,,,,,
421,1967,1967,4,15,0.05,,,,,,,
421,1967,1967,4,18,1.05,,,,,,,
421,1967,1967,4,19,0.67,,,,,,,
421,1967,1967,4,20,0.67,,,,,,,
421,1967,1967,4,21,0.12,,,,,,,
421,1967,1967,4,22,0.53,,,,,,,
421,1967,1967,4,23,0.25,,,,,,,
421,1967,1967,4,29,0.12,,,,,,,
421,1967,1967,5,10,0.20,,,,,,,
421,1967,1967,6,17,0.30,,,,,,,
421,1968,1967,9,21,0.02,,,,,,,
421,1968,1967,9,28,0.16,,,,,,,
421,1968,1967,9,29,0.16,,,,,,,
421,1968,1967,11,18,0.20,,,,,,,
421,1968,1967,11,19,1.42,,,,,,,
421,1968,1967,11,20,1.07,,,,,,,
421,1968,1967,11,21,0.42,,,,,,,
421,1968,1967,11,22,0.50,,,,,,,
421,1968,1967,11,28,0.06,,,,,,,
421,1968,1967,11,30,0.90,,,,,,,
421,1968,1967,12,1,0.02,,,,,,,
421,1968,1967,12,5,0.02,,,,,,,
421,1968,1967,12,6,0.15,,,,,,,
421,1968,1967,12,8,0.18,,,,,,,
421,1968,1967,12,18,0.55,,,,,,,
421,1968,1967,12,19,0.47,,,,,,,
421,1968,1967,12,21,0.10,,,,,,,
421,1968,1968,1,11,0.51,,,,,,,
421,1968,1968,1,27,0.01,,,,,,,
421,1968,1968,1,28,0.66,,,,,,,
421,1968,1968,1,31,0.36,,,,,,,
421,1968,1968,2,13,0.27,,,,,,,
421,1968,1968,2,14,0.05,,,,,,,
421,1968,1968,2,17,0.75,,,,,,,
421,1968,1968,2,18,0.21,,,,,,,
421,1968,1968,2,21,0.10,,,,,,,
421,1968,1968,3,8,2.65,,,,,,,
421,1968,1968,3,9,0.20,,,,,,,
421,1968,1968,3,13,0.95,,,,,,,
421,1968,1968,3,15,0.37,,,,,,,
421,1968,1968,4,1,1.37,,,,,,,
421,1969,1968,10,13,0.38,,,,,,,
421,1969,1968,10,14,1.26,,,,,,,
421,1969,1968,10,30,0.61,,,,,,,
421,1969,1968,11,3,0.17,,,,,,,
421,1969,1968,11,15,1.11,,,,,,,
421,1969,1968,11,17,0.05,,,,,,,
421,1969,1968,12,11,0.51,,,,,,,
421,1969,1968,12,14,0.20,,,,,,,
421,1969,1968,12,15,0.86,,,,,,,
421,1969,1968,12,16,0.62,,,,,,,
421,1969,1968,12,20,0.10,,,,,,,
421,1969,1968,12,24,0.10,,,,,,,
421,1969,1968,12,25,0.50,,,,,,,
421,1969,1968,12,26,0.40,,,,,,,
421,1969,1969,1,13,0.20,,,,,,,
421,1969,1969,1,14,0.10,,,,,,,
421,1969,1969,1,18,1.00,,,,,,,
421,1969,1969,1,19,4.90,,,,,,,
421,1969,1969,1,20,0.70,,,,,,,
421,1969,1969,1,21,3.00,,,,,,,
421,1969,1969,1,22,0.20,,,,,,,
421,1969,1969,1,23,0.30,,,,,,,
421,1969,1969,1,24,2.50,,,,,,,
421,1969,1969,1,25,3.40,,,,,,,
421,1969,1969,1,31,2.60,,,,,,,
421,1969,1969,2,5,1.60,,,,,,,
421,1969,1969,2,6,1.10,,,,,,,
421,1969,1969,2,12,0.30,,,,,,,
421,1969,1969,2,15,0.80,,,,,,,
421,1969,1969,2,17,0.40,,,,,,,
421,1969,1969,2,18,0.30,,,,,,,
421,1969,1969,2,19,0.40,,,,,,,
421,1969,1969,2,20,0.10,,,,,,,
421,1969,1969,2,22,0.90,,,,,,,
421,1969,1969,2,25,0.40,,,,,,,
421,1969,1969,2,26,1.50,,,,,,,
421,1969,1969,2,27,3.70,,,,,,,
421,1969,1969,3,1,0.90,,,,,,,
421,1969,1969,3,2,0.10,,,,,,,
421,1969,1969,3,9,0.10,,,,,,,
421,1969,1969,3,10,0.40,,,,,,,
421,1969,1969,3,12,0.10,,,,,,,
421,1969,1969,3,20,0.30,,,,,,,
421,1969,1969,3,21,0.30,,,,,,,
421,1969,1969,4,2,1.00,,,,,,,
421,1969,1969,4,5,0.10,,,,,,,
421,1969,1969,7,13,0.10,,,,,,,
421,1970,1969,9,6,0.16,,,,,,,
421,1970,1969,10,16,0.23,,,,,,,
